start_station,dockcount,COUNT(*)
2nd at Townsend,27,444
Market at 10th,27,266
Market at Sansome,27,311
San Jose Diridon Caltrain Station,27,141
Civic Center BART (7th at Market),23,191
Golden Gate at Polk,23,120
Harry Bridges Plaza (Ferry Building),23,467
Mountain View Caltrain Station,23,113
Palo Alto Caltrain Station,23,51
San Antonio Caltrain Station,23,34
San Francisco Caltrain 2 (330 Townsend),23,728
Steuart at Market,23,455
Temporary Transbay Terminal (Howard at Beale),23,452
2nd at Folsom,19,231
Adobe on Almaden,19,15
Arena Green / SAP Center,19,14
Beale at Market,19,257
Embarcadero at Folsom,19,263
Grant Avenue at Columbus Avenue,19,218
Howard at 2nd,19,217
MLK Library,19,25
Market at 4th,19,251
Mechanics Plaza (Market at Battery),19,210
Powell Street BART,19,244
Powell at Post (Union Square),19,132
SJSU 4th at San Carlos,19,23
San Francisco Caltrain (Townsend at 4th),19,575
San Francisco City Hall,19,64
South Van Ness at Market,19,163
Spear at Folsom,19,159
Yerba Buena Center of the Arts (3rd @ Howard),19,109
2nd at South Park,15,211
5th at Howard,15,171
Broadway St at Battery St,15,184
California Ave Caltrain Station,15,8
Clay at Battery,15,159
Commercial at Montgomery,15,176
Davis at Jackson,15,173
Embarcadero at Bryant,15,236
Embarcadero at Sansome,15,425
Embarcadero at Vallejo,15,178
Japantown,15,22
Mountain View City Hall,15,53
Park at Olive,15,6
Paseo de San Antonio,15,23
Ryland Park,15,23
SJSU - San Salvador at 9th,15,19
San Antonio Shopping Center,15,23
San Jose City Hall,15,10
San Jose Civic Center,15,18
San Pedro Square,15,22
San Salvador at 1st,15,16
Santa Clara County Civic Center,15,22
St James Park,15,19
Townsend at 7th,15,375
Castro Street and El Camino Real,11,31
Cowper at University,11,21
Santa Clara at Almaden,11,54
University and Emerson,11,18
