start_station,COUNT(start_station)
2nd at Folsom,7464
2nd at South Park,7722
2nd at Townsend,14099
5th S at E. San Salvador St,19
5th St at E. San Salvador St,1
5th St at Folsom St,173
5th at Howard,5436
Adobe on Almaden,789
Arena Green / SAP Center,547
Beale at Market,7373
Broadway St at Battery St,5695
California Ave Caltrain Station,392
Castro Street and El Camino Real,1014
Charleston Park/ North Bayshore Area,343
Civic Center BART (7th at Market),5043
Clay at Battery,4357
Commercial at Montgomery,4969
Cowper at University,788
Cyril Magnin St at Ellis St,69
Davis at Jackson,5240
Embarcadero at Bryant,7714
Embarcadero at Folsom,7820
Embarcadero at Sansome,13424
Embarcadero at Vallejo,4710
Evelyn Park and Ride,71
Franklin at Maple,2
Golden Gate at Polk,3309
Grant Avenue at Columbus Avenue,6735
Harry Bridges Plaza (Ferry Building),16128
Howard at 2nd,7583
Japantown,945
Kaiser Hospital,147
MLK Library,630
Market at 10th,9937
Market at 4th,7337
Market at Sansome,10970
Mechanics Plaza (Market at Battery),5613
Mezes,119
Mezes Park,7
Middlefield Light Rail Station,66
Mountain View Caltrain Station,2515
Mountain View City Hall,1291
Palo Alto Caltrain Station,1170
Park at Olive,276
Paseo de San Antonio,833
Post at Kearny,4348
Powell Street BART,6826
Powell at Post (Union Square),4488
Redwood City Caltrain Station,695
Redwood City Medical Center,5
Redwood City Public Library,59
Rengstorff Avenue / California Street,42
Ryland Park,879
S. Market St at Park Ave,84
SJSU - San Salvador at 9th,481
SJSU 4th at San Carlos,363
San Antonio Caltrain Station,611
San Antonio Shopping Center,559
San Francisco Caltrain (Townsend at 4th),23591
San Francisco Caltrain 2 (330 Townsend),22358
San Francisco City Hall,2195
San Jose City Hall,518
San Jose Civic Center,543
San Jose Diridon Caltrain Station,4035
San Mateo County Center,86
San Pedro Square,1215
San Salvador at 1st,540
Santa Clara County Civic Center,420
Santa Clara at Almaden,1447
Sequoia Hospital,15
South Van Ness at Market,5398
Spear at Folsom,5113
St James Park,694
Stanford in Redwood City,428
Steuart at Market,13693
Temporary Transbay Terminal (Howard at Beale),13111
Townsend at 7th,11170
University and Emerson,490
Washington at Kearny,2844
Yerba Buena Center of the Arts (3rd @ Howard),3460
